12 Städte- und Gemeindefeuerwehren		
insgesamt 93 Freiwillige Feuerwehren		
7 Werk- / Betriebsfeuerwehren		
		
OF Wesseloh	Wesseloher Straße 34	29640 Schneverdingen
Florian Heidekreis 36-45-09	LF 10	
		
OF Zahrensen	Junkerstraße 2	29640 Schneverdingen
Florian Heidekreis 36-45-10	LF 8/6	
		
Gemeinde Neuenkirchen		
OF Neuenkirchen	Am Kleinbahnhof 8	29643 Neuenkirchen
Florian Heidekreis 38-11-01	ELW	
Florian Heidekreis 38-17-01	MTW	
Florian Heidekreis 38-25-01	TLF 20/40	5.000l Wasser, 6 Besatzung
Florian Heidekreis 38-48-01	HLF 20	
Florian Heidekreis 38-64-01	GW-L	Schlauch, Öl, Atemschutz, TS, Rüstholz, Gefahrgut
		
OF Tewel	Dorfstraße 42	29643 Neuenkirchen
Florian Heidekreis 38-20-2	TLF 8/18	
Florian Heidekreis 38-45-2	LF 8/6	
		
OF Brochdorf	Lütte Straat 14	29643 Neuenkirchen
Florian Heidekreis 38-40-3	TSF	
		
OF Delmsen	Am Kleinbahnhof 8	29643 Neuenkirchen
		mit FF Neuenkirchen im selben Gebäude
Florian Heidekreis 38-47-4	LF 16/12	
Florian Heidekreis 38-17-4	MTW	
		
OF Gilmerdingen/Leverdingen	Gilmerdingen 42	29643 Neuenkirchen
Florian Heidekreis 38-47-5	LF 16/8	
		
OF Grauen	Lünzener Straße 2/Hinter den Höfen	29643 Neuenkirchen
Florian Heidekreis 38-41-6	TSF-W	
		
OF Ilhorn	Ilhorn 36	29643 Neuenkirchen
Florian Heidekreis 38-40-7	TSF-W	
		
OF Schwalingen	Schwalingen 112	29643 Neuenkirchen
Florian Heidekreis 38-47-8	LF 16	
		
OF Sprengel	Sprengeler Dorfstraße 31	29643 Neuenkirchen
Florian Heidekreis 38-47-9	LF 16	
		
OF Behningen	Behningen 6a	29643 Neuenkirchen
Florian Heidekreis 38-40-10	TSF	
		
Werkfeuerwehren		
Werkfeuerwehr GEKA Munster	Humboldtstraße 110	29633 Munster
Florian Heidekreis 94-23-1	TLF 16/25	
Florian Heidekreis 94-40-1	TSF	
Florian Heidekreis 94-48-1	HLF	
Florian Heidekreis 94-79-1	Leiter WF	
		
IPW Sicherheitsdienst GmbH	Bahnhofstraße 19?	29699 Bomlitz
Florian Heidekreis 94-11-3	ELW 1	
Florian Heidekreis 94-19-3	MTW	
Florian Heidekreis 94-23-3	TLF 16/25	
Florian Heidekreis 94-26-3	ULF	
Florian Heidekreis 94-59-3	GW-G	
Florian Heidekreis 94-64-3	GW-N	
Florian Heidekreis 94-92-3	RTW	
		
Falck Fire Services DE GmbH	Hartemer Weg 100	29683 Oerbke
In Auflösung/Abbau		Ankunftszentrum Fallingbostel-Oerbke
Florian Heidekreis 94-42-5	StLF 20	bald a.D.!
		
Berufsfeuerwehren		
Bundeswehr-Feuerwehr Munster	Emminger Weg 61	29633 Munster
Florian Heidekreis 94-10-4	ELW	Leiter FW
Florian Heidekreis 94-10-5	ELW	WAL
Florian Heidekreis 94-23-4	TLF 20/28-2,8	
Florian Heidekreis 94-25-4	TLF 20/45	
Florian Heidekreis 94-25-5	TLF 20/45	
Florian Heidekreis 94-25-6	TLF 20/45	
Florian Heidekreis 94-25-7	TLF 20/45	
Florian Heidekreis 94-25-8	TLF 20/45	
Florian Heidekreis 94-25-9	TLF 20/45	
Florian Heidekreis 94-52-4	RW 2	
	TLF 3500	
	GW-ABC	
	GW-Öl	
		
Bundeswehr-Feuerwehr Bergen Standort West	Scheibenhof	29683 Bad Fallingbostel-Oerbke
		organisatorisch Celle, geografisch Heidekreis
Florian Celle 81-10-01	ELW	intern 30C
Florian Celle 81-23-01	TLF 20/30	intern 37
Florian Celle 81-29-03	WTLF 20/45	intern 33
Florian Celle 81-29-04	WTLF 20/45	intern 34
Florian Celle 81-29-09	WTLF 20/45	intern 34A
Florian Celle 81-29-10	WTLF 20/45	intern 35A
Florian Celle 81-29-06	WTLF 20/45	intern 36
Florian Celle 81-29-11	WTLF 20/45	intern 36A
		
Betriebsfeuerwehren		
Center Parks	Töpinger Straße 69	29646 Bispingen
-	LF 8	
		
Mondelez	Deiler Weg 3	29683 Bad Fallingbostel
Florian Heidekreis 14-79-4-1	GW-L	
