----- Regionalstelle Schleswig: -----		
		
>>> Fachgruppe N		
Heros Plön 24/53	GKW 2	GKW 2 Übergangslösung
	Anhänger NEA 25 kVA LiMa	
		
>>> Fachgruppe Wassergefahren		
Heros Plön 37/64	LKW Lkr gl	Neufahrzeug 01/2016
Heros Plön 37/85	MzB	
Heros Plön 37/83	MzPt	
	Anhänger Bootstransport	
		
>>> OV-Stab		
Heros Plön 86/32	MLW 2	
Heros Plön 86/25	MTW	
		
		
THW OV Preetz	Handelsweg 6	24211 Preetz (Neubau am Dänenkamp neben der FTZ Kreis Plön in Planung)
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Preetz 21/10	MTW ZTr	
		
>>> Bergungsgruppe		
Heros Preetz 22/51	GKW	
	Anhänger EGS	
		
>>> Fachgruppe N		
Heros Preetz 25/55	MzGW	Neufahrzeug 2021
		
>>> Fachgruppe Schwere Bergung (A)		
Heros Preetz 38/54	MzKW	
	Anhänger NEA 60 kVA	
	Anhänger NEA 17 kVA	
		
>>> Fachgruppe Räumen	jetzt Typ C, neue FRN	
Heros Preetz 43/61	LKW Kipper	
	Anhänger Tieflader	
Heros Preetz 43/73	Teleskoplader	Neufahrzeug 12/2018
	Anhänger Drucklufterzeugung	
		
>> Fachzug Logistik		
>>> Fachgruppe Logistik Verpflegung		
Heros Preetz 64/63	LKW Lbw 7t	
Heros Preetz 64/25	MTW Fgr	
	Anhänger Modulfeldküche	
	Anhänger Küche	
Heros Preetz 64/56	Küchenkraftwagen	
		
>>> OV-Stab		
Heros Preetz 86/25	MTW	
Heros Preetz 86/21	PKW	
	Anhänger Jugendgruppe	
Heros Preetz 73/86	Schlauchboot	
		
		
THW OV Ratzeburg	Pillauer Weg 6	23909 Ratzeburg
>> Technischer Zug		
>>>>> Zugtrup		
Heros Ratzeburg 21/10	MTW Ztr	
		
>>> Bergungsguppe		
Heros Ratzeburg 22/51	GKW	
	Anhänger EGS	
		
>>> Fachgruppe N		
Heros Ratzeburg 24/55	MzGW	
	Anhänger NEA LiMa	

>>> Fachgruppe Wassergefahren		
Heros Ratzeburg 36/43	LKW Lkr	Neufahrzeug 2014
Heros Ratzeburg 36/32	MLW 2	Unimog
Heros Ratzeburg 36/81	MzAB	
Heros Ratzeburg 36/82	MzAB	
Heros Ratzeburg 36/85	Schlauchboot	
	Anhänger Bootstrailer	
		
>>> öGA Ölwehr		
	diverse Anhänger Ölwehr	
		
>>> OV-Stab		
Heros Ratzeburg 86/21	PKW	
Heros Ratzeburg 86/25	MTW	Jugendgruppe
		
		
Regionalstelle Neumünster:		
		
		
THW OV Bad Segeberg	Rosenstraße 18a	23795 Bad Segeberg
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Bad Segeberg 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Bad Segeberg 22/51	GKW	
	Anhänger Wechselbrücke EGS	
		
>>> Fachgruppe N		
Heros Bad Segeberg 25/54	MzKW	
		
>>> Fachgruppe Wasserschaden / Pumpen		
Heros Bad Segeberg 47/34	MLW 4	
Heros Bad Segeberg 47/43	LKW Lbw	
	SwP 5000l/min	
	Anhänger 7t	
		
>>> Fachgruppe Ortung (Typ C, nur techn.)		
Heros Bad Segeberg 46/25	MTW	
		
>>> Fachgruppe Elektroversorgung		
Heros Bad Segeberg 32/43	LKW Lbw	
	NEA 200 kVA	
	NEA 175 kVA	
		
>>> öGA Ölschaden		
Heros Bad Segeberg 86/65	WLF	
Heros Bad Segeberg 86/34	MLW IV	
Heros Bad Segeberg 86/81	MZB	
Heros Bad Segeberg 86/85	Schlaucboot	
		
>>> OV-Stab		
Heros Bad Segeberg 86/25	MTW OV	
		
		
THW OV Barmstedt	An der alten Mühle 8	25355 Barmstedt
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Barmstedt 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Barmstedt 22/51	GKW	
	Anhänger 7t	
	NEA 100kVA	
	Schlauchboot	2x
		
>>> Fachgruppe Räumen		
Heros Barmstedt 41/62	LKW K9	
	Anhänger Tieflader	
Heros Barmstedt 41/72	Radlader	
	Anhänger Drucklufterzeugung	
		
>> Fachzug Logistik		
>>> Fachgruppe Logistik Verpflegung		
Heros Barmstedt 64/31	MLW 1	
Heros Barmstedt 64/43	Lkw Lbw	
	2 Anhänger Feldküche	
		
>>> OV-Stab		
Heros Barmstedt 86/21	PKW	First Responder, MTW
Heros Barmstedt 86/31	MLW 1	Jugendgruppe
		
>>> öGA		
Heros Barmstedt 74/56	GW-L	ÖGA Logistik Verpflegung
		
		
THW OV Burg/Hochdonn	Bahnhofstraße 35	25712 Burg (Dithmarschen)
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Burg 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Burg 22/51	GKW	
	Anhänger Wechselbrücke EGS	
		
>>> Fachgruppe N		
Heros Burg 24/55	MzGW	
	Anhänger LiMa 20 kVA	
		
>>> Fachgruppe Schwere Bergung		
Heros Burg 23/54	MzKW	
	Anhänger NEA 50	
		
>>> öGA (Ölschaden)		
	Anhänger LKW	
	Anhänger PKW	
	Anhänger MZB	
Heros Burg 74/??	MZB	THW 85787
	Anhänger Schlauchboot	
Heros Burg 74/??	Schlauchboot	
		
>>> OV-Stab		
Heros Burg 86/25	MTW OV	
	Gabelstapler	
		
		
THW OV Elmshorn	Geelbeksdamm 3	25335 Elmshorn
>> Technischer Zug		
