Kennung	Feuerwehr	Funk	Fahrzeugtyp
74	Kittlitz	Niendorfer Straße 2	23911 Kittlitz
		Florian Lauenburg 74/41-01	StLF 10/6
			
75	Mustin	Dorfstraße 26	23911 Mustin
		Florian Lauenburg 75/42-01	LF 8
		Florian Lauenburg 75/50-01	RW 1
			
76	Bäk-Mechow-Römnitz	Am Brink 1	23909 Mechow am See
		Florian Lauenburg 76/18-01	MTW
		Florian Lauenburg 76/42-01	LF 8/6
		Florian Lauenburg 76/48-02	HLF 20
			
	Ziethen	Dorfstraße 17	23911 Ziethen
		Florian Lauenburg 76/10-01	KdoW
		Florian Lauenburg 76/44-01	LF 10
		Florian Lauenburg 76/48-01	HLF 20/16
			
77	Schmilau	Dorfstraße 12	23911 Schmilau
		Florian Lauenburg 77/14-01	MZF
		Florian Lauenburg 77/41-01	TSF-W
			
78	Giesensdorf	Drofstraße	23909 Giesensdorf
		Florian Lauenburg 78/40-01	TSF
			
	Harmsdorf	Dorfstraße 4	23911 Harmsdorf
		Florian Lauenburg 78/41-01	TSF-W
			
79	Kulpin	Dorfstraße	23911 Kulpin
		Florian Lauenburg 79/40-01	
			
	Einhaus	Hauptstraße 26a	23911 Einhaus
		Florian Lauenburg 79/42-01	LF 8
			
80	Berkenthin	Am Schart 16	23919 Berkenthin
		Florian Lauenburg 80/11-01	ELW 1
		Florian Lauenburg 80/18-01	MTF
		Florian Lauenburg 80/46-01	LF 16/12
		Florian Lauenburg 80/48-01	HLF 20
			
81	Klempau	Dorfstraße 47	23628 Klempau
		Florian Lauenburg 81/18-01	MTW
		Florian Lauenburg 81/45-01	LF 10
			
82	Rondeshagen	Am Brink	23919 Rondeshagen
		Florian Lauenburg 82/14-01	MZF
		Florian Lauenburg 82/44-01	LF 8/6
			Mehrzweckboot
			
83	Behlendorf	Am Brink	23919 Behlendorf
		Florian Lauenburg 83/41-01	MLF
			
84	Niendorf bei Berkenthin	Dörpstraat	23919 Niendorf b.Berkenthin
		Florian Lauenburg 84/41-01	TSF-W
			
85	Göldenitz	Fliegenberg 19	23919 Göldenitz
		Florian Lauenburg 85/40-01	TSF
			
86	Sierksrade	Steenkamp 1	23847 Sierksrade
		Florian Lauenburg 86/41-01	StLF 10/6
		Florian Lauenburg 86/46-01	TSF
			
87	Kastorf	Ratzeburger Straße 26a	23847 Kastorf
		Florian Lauenburg 87/14-01	MZF
		Florian Lauenburg 87/43-01	LF 10/6
		Florian Lauenburg 87/47-01	LF 20 KatS SH
			
88	Bliestorf	Neuer Weg 1	23847 Bliestorf
		Florian Lauenburg 88/14-01	MZF
		Florian Lauenburg 88/45-01	LF 10/6
			
90	Lüchow	Sandesnebener Weg 1	23898 Lüchow
		Florian Lauenburg 90/40-01	LF 8
			
	Sandesneben	Makenhorst 5a	23898 Sandesneben
		Florian Lauenburg 90/18-01	MTF
		Florian Lauenburg 90/40-02	TSF-Logistik
		Florian Lauenburg 90/41-01	TSF-W
		Florian Lauenburg 90/48-01	HLF 20
			
91	Steinhorst	Am Ziegelteich 1	23847 Steinhorst
		Florian Lauenburg 90/11-01	ELW 1
		Florian Lauenburg 91/22-01	TLF 16/25
		Florian Lauenburg 91/42-01	LF 8
			
92	Groß Boden	Bodener Landstraße 9	23847 Groß Boden
		Florian Lauenburg 92/19-01	MZF
		Florian Lauenburg 92/41-01	TSF-W
			
	Stubben	Dorfstraße 42	23847 Stubben
		Florian Lauenburg 92/18-01	MTF
		Florian Lauenburg 92/42-01	LF 8
			
93	Schürensöhlen	Hauptstraße 27	23847 Schürensöhlen
		Florian Lauenburg 93/41-01	TSF-W
			
	Siebenbäumen	Dorfstraße 4	23847 Siebenbäumen
		Florian Lauenburg 93/18-01	MTF
		Florian Lauenburg 93/48-01	LF 10
			
94	Grinau	Hauptstraße 38	23847 Grinau
		Florian Lauenburg 94/18-01	MTF
		Florian Launeburg 94/41-01	TSF-W
			
	Groß Schenkenberg-Rothenhausen	Hauptstraße 33	23860 Groß Schenkenberg
		Florian Lauenburg 94/18-02	MTF
		Florian Lauenburg 94/41-02	TSF-W
			
95	Klinkrade	Am Schäferkaten 4	23898 Klinkrade
		Florian Lauenburg 95/47-01	LF 20
			
96	Labenz	Schulweg 4	23898 Labenz
		Florian Lauenburg 96/22-01	TLF 16/25
		Florian Lauenburg 96/42-01	LF 8
			
97	Sirksfelde	Schulstraße 14	23898 Sirksfelde
		Florian Lauenburg 97/41-01	TSF-W
			
	Linau	Kuhdrift 5	22959 Linau
		Florian Lauenburg 97/44-01	LF 8/6
		Florian Launeburg 97/47-01	LF 20
			
98	Schiphorst	Schulweg 1	23847 Schiphorst
		Florian Lauenburg 98/14-01	MZF
		Florian Lauenburg 98/22-01	TLF 16/25
			
	Wentorf/AS	Dörpstraat 18	23898 Wentorf A.S.
		Florian Lauenburg 98/41-01	TSF-W
		Florian Lauenburg 98/48-01	HLF 20
			
99	Schönberg	Dorfstraße	22929 Schönberg
		Florian Lauenburg 99/18-01	MTF
		Florian Lauenburg 99/20-01	TLF 16/24-Tr
		Florian Lauenburg 99/47-01	LF KatS SH
		Florian Lauenburg 99/48-01	LF 20/16
			
	Franzdorf	Schiphorster Straße	22929 Schönberg
		Florian Lauenburg 99/40-01	TSF
			
--	WF Heidenreich & Harbeck	Grambeker Weg 25	23879 Mölln
			TSA
